name,country,sp,fs,combined,rank,competition,date
Fumie Suguri,Japan,62.02,120.06,182.08,1,2003 Grand Prix Final,12/11/03
Sasha Cohen,United States,60.80,116.68,177.48,2,2003 Grand Prix Final,12/11/03
Shizuka Arakawa,Japan,53.34,114.23,167.57,3,2003 Grand Prix Final,12/11/03
Irina Slutskaya,Russia,65.46,115.42,180.88,1,2004 Grand Prix Final,12/16/04
Shizuka Arakawa,Japan,64.10,96.14,160.24,2,2004 Grand Prix Final,12/16/04
Joannie Rochette,Canada,55.68,101.00,156.68,3,2004 Grand Prix Final,12/16/04
Mao Asada,Japan,64.38,125.24,189.62,1,2005 Grand Prix Final,12/16/05
Irina Slutskaya,Russia,58.90,122.58,181.48,2,2005 Grand Prix Final,12/16/05
Yukari Nakano,Japan,56.04,105.78,161.82,3,2005 Grand Prix Final,12/16/05
Kim Yuna,South Korea,65.06,119.14,184.20,1,2006 Grand Prix Final,12/14/06
Mao Asada,Japan,69.34,103.18,172.52,2,2006 Grand Prix Final,12/14/06
Sarah Meier,Switzerland,59.46,110.82,170.28,3,2006 Grand Prix Final,12/14/06
Kim Yuna,South Korea,64.62,132.21,196.83,1,2007 Grand Prix Final,12/13/07
Mao Asada,Japan,59.04,132.55,191.59,2,2007 Grand Prix Final,12/13/07
Carolina Kostner,Italy,59.86,119.07,178.93,3,2007 Grand Prix Final,12/13/07
Mao Asada,Japan,65.38,123.17,188.55,1,2008 Grand Prix Final,12/10/08
Kim Yuna,South Korea,65.94,120.41,186.35,2,2008 Grand Prix Final,12/10/08
Carolina Kostner,Italy,55.88,112.13,168.01,3,2008 Grand Prix Final,12/10/08
Kim Yuna,South Korea,65.64,123.22,188.86,1,2009 Grand Prix Final,12/02/09
Miki Ando,Japan,66.20,119.74,185.94,2,2009 Grand Prix Final,12/02/09
Akiko Suzuki,Japan,57.54,116.46,174.00,3,2009 Grand Prix Final,12/02/09
Alissa Czisny,United States,63.76,116.99,180.75,1,2010 Grand Prix Final,12/08/10
Carolina Kostner,Italy,62.13,116.47,178.60,2,2010 Grand Prix Final,12/08/10
Kanako Murakami,Japan,61.47,117.12,178.59,3,2010 Grand Prix Final,12/08/10
Carolina Kostner,Italy,66.43,121.05,187.48,1,2011 Grand Prix Final,12/08/11
Akiko Suzuki,Japan,61.30,118.46,179.76,2,2011 Grand Prix Final,12/08/11
Alena Leonova,Russia,60.46,115.96,176.42,3,2011 Grand Prix Final,12/08/11
Mao Asada,Japan,66.96,129.84,196.80,1,2012 Grand Prix Final,12/06/12
Ashley Wagner,United States,66.44,115.49,181.93,2,2012 Grand Prix Final,12/06/12
Akiko Suzuki,Japan,65.00,115.77,180.77,3,2012 Grand Prix Final,12/06/12
Mao Asada,Japan,72.36,131.66,204.02,1,2013 Grand Prix Final,12/05/13
Yulia Lipnitskaya,Russia,66.62,125.45,192.07,2,2013 Grand Prix Final,12/05/13
Ashley Wagner,United States,68.14,119.47,187.61,3,2013 Grand Prix Final,12/05/13
Elizaveta Tuktamysheva,Russia,67.52,136.06,203.58,1,2014 Grand Prix Final,12/11/14
Elena Radionova,Russia,63.89,134.85,198.74,2,2014 Grand Prix Final,12/11/14
Ashley Wagner,United States,60.24,129.26,189.50,3,2014 Grand Prix Final,12/11/14
Evgenia Medvedeva,Russia,74.58,147.96,222.54,1,2015 Grand Prix Final,12/10/15
Satoko Miyahara,Japan,68.76,140.09,208.85,2,2015 Grand Prix Final,12/10/15
Elena Radionova,Russia,69.43,131.70,201.13,3,2015 Grand Prix Final,12/10/15
Evgenia Medvedeva,Russia,79.21,148.45,227.66,1,2016 Grand Prix Final,12/08/16
Satoko Miyahara,Japan,74.64,143.69,218.33,2,2016 Grand Prix Final,12/08/16
Anna Pogorilaya,Russia,73.29,143.18,216.47,3,2016 Grand Prix Final,12/08/16
Alina Zagitova,Russia,76.27,147.03,223.30,1,2017 Grand Prix Final,12/07/17
Maria Sotskova,Russia,74.00,142.28,216.28,2,2017 Grand Prix Final,12/07/17
Kaetlyn Osmond,Canada,77.04,138.12,215.16,3,2017 Grand Prix Final,12/07/17
Irina Slutskaya,Russia,62.84,130.10,192.94,1,2005 World Championships,03/14/05
Sasha Cohen,United States,61.37,124.61,185.98,2,2005 World Championships,03/14/05
Carolina Kostner,Italy,60.82,113.29,174.11,3,2005 World Championships,03/14/05
Kimmie Meissner,United States,60.17,129.70,189.87,1,2006 World Championships,03/19/06
Fumie Suguri,Japan,62.12,119.15,181.27,2,2006 World Championships,03/19/06
Sasha Cohen,United States,66.62,114.67,181.29,3,2006 World Championships,03/19/06
Miki Ando,Japan,67.98,127.11,195.09,1,2007 World Championships,03/20/07
Mao Asada,Japan,61.32,133.13,194.45,2,2007 World Championships,03/20/07
Kim Yuna,South Korea,71.95,114.19,186.14,3,2007 World Championships,03/20/07
Mao Asada,Japan,64.10,121.46,185.56,1,2008 World Championships,03/16/08
Carolina Kostner,Italy,64.28,120.40,184.68,2,2008 World Championships,03/16/08
Kim Yuna,South Korea,59.85,123.38,183.23,3,2008 World Championships,03/16/08
Kim Yuna,South Korea,76.12,131.59,207.71,1,2009 World Championships,03/23/09
Joannie Rochette,Canada,67.90,123.39,191.29,2,2009 World Championships,03/23/09
Miki Ando,Japan,64.12,126.26,190.38,3,2009 World Championships,03/23/09
Mao Asada,Japan,68.08,129.50,197.58,1,2010 World Championships,03/22/10
Kim Yuna,South Korea,60.30,130.49,190.79,2,2010 World Championships,03/22/10
Laura Lepistö,Finland,64.30,114.32,178.62,3,2010 World Championships,03/22/10
Miki Ando,Japan,65.58,130.21,195.79,1,2011 World Championships,4/25/11
Kim Yuna,South Korea,65.91,128.59,194.5,2,2011 World Championships,4/25/11
Carolina Kostner,Italy,59.75,124.93,184.68,3,2011 World Championships,4/25/11
Carolina Kostner,Italy,61.00,128.94,189.94,1,2012 World Championships,03/26/12
Alena Leonova,Russia,64.61,119.67,184.28,2,2012 World Championships,03/26/12
Akiko Suzuki,Japan,59.38,121.30,180.68,3,2012 World Championships,03/26/12
Kim Yuna,South Korea,69.97,148.34,218.31,1,2013 World Championships,03/11/13
Carolina Kostner,Italy,66.86,131.03,197.89,2,2013 World Championships,03/11/13
Mao Asada,Japan,62.10,134.37,196.47,3,2013 World Championships,03/11/13
Mao Asada,Japan,78.66,138.03,216.69,1,2014 World Championships,03/24/14
Yulia Lipnitskaya,Russia,74.54,132.96,207.5,2,2014 World Championships,03/24/14
Carolina Kostner,Italy,77.24,126.59,203.83,3,2014 World Championships,03/24/14
Elizaveta Tuktamysheva,Russia,77.62,132.74,210.36,1,2015 World Championships,03/23/15
Satoko Miyahara,Japan,67.02,126.58,193.6,2,2015 World Championships,03/23/15
Elena Radionova,Russia,69.51,121.96,191.47,3,2015 World Championships,03/23/15
Evgenia Medvedeva,Russia,73.76,150.10,223.86,1,2016 World Championships,03/28/16
Ashley Wagner,United States,73.16,142.23,215.39,2,2016 World Championships,03/28/16
Anna Pogorilaya,Russia,73.98,139.71,213.69,3,2016 World Championships,03/28/16
Evgenia Medvedeva,Russia,79.01,154.40,233.41,1,2017 World Championships,03/29/17
Kaetlyn Osmond,Canada,75.98,142.15,218.13,2,2017 World Championships,03/29/17
Gabrielle Daleman,Canada,72.19,141.33,213.52,3,2017 World Championships,03/29/17
Shizuka Arakawa,Japan,66.02,125.32,191.34,1,2006 Winter Olympics,02/23/06
Sasha Cohen,United States,66.73,117.63,183.36,2,2006 Winter Olympics,02/23/06
Irina Slutskaya,Russia,66.70,114.74,181.44,3,2006 Winter Olympics,02/23/06
Kim Yuna,South Korea,78.50,150.06,228.56,1,2010 Winter Olympics,02/25/10
Mao Asada,Japan,73.78,131.72,205.50,2,2010 Winter Olympics,02/25/10
Joannie Rochette,Canada,71.36,131.28,202.64,3,2010 Winter Olympics,02/25/10
Adelina Sotnikova,Russia,74.64,149.95,224.59,1,2014 Winter Olympics,02/20/14
Kim Yuna,South Korea,74.92,144.19,219.11,2,2014 Winter Olympics,02/20/14
Carolina Kostner,Italy,74.12,142.61,216.73,3,2014 Winter Olympics,02/20/14
